               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074303,            0.037856,           0.0087928,             0.51405,             0.51998,             0.50887,             0.23087,             0.05527,            0.040764,           0.0013666,            0.070134,           0.0033185,           0.0033185
                   1,            0.052804,            0.028993,           0.0013303,             0.57313,             0.58489,             0.62354,             0.33166,            0.046441,            0.037114,           0.0012827,            0.039946,           0.0064636,           0.0064636
                   2,            0.046401,            0.025752,           0.0013691,             0.70722,             0.75541,             0.78353,             0.37443,             0.04355,            0.035416,           0.0011826,           0.0095691,           0.0094202,           0.0094202
                   3,            0.041004,            0.026013,           0.0011526,             0.80475,             0.72846,             0.81413,              0.4742,            0.037075,             0.03566,          0.00087557,           0.0091514,           0.0091514,           0.0091514
                   4,            0.037481,            0.024481,          0.00084921,              0.8583,             0.75218,             0.85027,             0.50759,            0.039064,             0.03497,          0.00073101,           0.0091514,           0.0091514,           0.0091514
                   5,            0.034993,            0.024248,          0.00067996,             0.77834,             0.74532,             0.80521,             0.50163,            0.032756,             0.03842,          0.00062408,           0.0088686,           0.0088686,           0.0088686
                   6,            0.033207,            0.023716,          0.00056268,             0.83869,             0.71399,             0.82336,             0.52173,            0.034723,            0.037854,          0.00053702,           0.0085857,           0.0085857,           0.0085857
                   7,            0.031659,             0.02235,          0.00046697,             0.76163,             0.68727,             0.75896,             0.47198,            0.035523,            0.041811,          0.00049898,           0.0083029,           0.0083029,           0.0083029
                   8,            0.031105,              0.0227,          0.00042028,             0.80816,             0.70037,             0.79265,             0.49039,            0.035468,            0.042071,          0.00049614,             0.00802,             0.00802,             0.00802
                   9,            0.029719,            0.022043,          0.00037344,             0.86126,             0.74782,             0.84338,             0.53428,             0.03805,            0.034889,          0.00037411,           0.0077371,           0.0077371,           0.0077371
                  10,            0.029379,            0.021792,          0.00033235,              0.8577,             0.80516,             0.87474,             0.58056,            0.036495,            0.032062,            0.000309,           0.0074543,           0.0074543,           0.0074543
                  11,            0.028368,            0.021352,          0.00030697,             0.80497,             0.76519,             0.82952,             0.52684,            0.033193,            0.040672,          0.00028195,           0.0071714,           0.0071714,           0.0071714
                  12,            0.027974,            0.020626,          0.00027045,             0.82161,             0.69285,             0.79521,             0.50603,            0.040137,            0.040681,          0.00041224,           0.0068886,           0.0068886,           0.0068886
                  13,            0.027125,            0.020502,          0.00025411,             0.88428,             0.81564,             0.89577,             0.58208,            0.032062,            0.032387,          0.00024716,           0.0066057,           0.0066057,           0.0066057
                  14,            0.026555,            0.020508,           0.0002209,             0.83927,             0.76922,             0.84918,             0.56272,            0.038504,            0.035248,          0.00025251,           0.0063229,           0.0063229,           0.0063229
                  15,            0.026093,            0.019728,          0.00021305,              0.8741,             0.77154,             0.86585,             0.57671,            0.034786,            0.033166,          0.00022963,             0.00604,             0.00604,             0.00604
                  16,            0.026041,            0.019729,          0.00020177,             0.86607,             0.78589,              0.8732,             0.57862,            0.035425,            0.033734,          0.00021275,           0.0057571,           0.0057571,           0.0057571
                  17,            0.025149,            0.019714,          0.00018239,             0.89049,             0.81726,             0.89595,             0.59598,            0.034171,            0.030886,          0.00017098,           0.0054743,           0.0054743,           0.0054743
                  18,             0.02516,            0.019441,          0.00016768,             0.88173,              0.7725,             0.88346,             0.58888,            0.032637,            0.033864,          0.00016593,           0.0051914,           0.0051914,           0.0051914
                  19,            0.024875,            0.019671,          0.00015344,             0.84612,             0.76904,             0.84392,             0.57264,             0.03383,             0.03651,          0.00017411,           0.0049086,           0.0049086,           0.0049086
                  20,            0.024472,            0.019484,          0.00014558,             0.84587,             0.75343,             0.84597,             0.56394,            0.035068,            0.036563,           0.0001578,           0.0046257,           0.0046257,           0.0046257
                  21,            0.024035,            0.019215,          0.00013292,             0.85935,             0.80854,             0.88302,             0.59031,            0.030884,            0.034434,          0.00013932,           0.0043429,           0.0043429,           0.0043429
                  22,            0.023299,            0.018501,          0.00012499,             0.88598,             0.78577,             0.87799,             0.59074,            0.033625,            0.034374,           0.0001276,             0.00406,             0.00406,             0.00406
                  23,            0.023673,            0.018389,          0.00011592,             0.86097,             0.77715,             0.86703,             0.58022,            0.032602,            0.037219,          0.00013726,           0.0037771,           0.0037771,           0.0037771
                  24,            0.022815,            0.018361,          0.00010862,             0.82269,             0.70911,             0.80308,             0.54174,            0.036792,            0.043909,          0.00026701,           0.0034943,           0.0034943,           0.0034943
                  25,             0.02263,            0.018271,          9.4306e-05,             0.89353,             0.80154,             0.89066,             0.59971,            0.031349,            0.033878,          0.00010461,           0.0032114,           0.0032114,           0.0032114
                  26,            0.022406,            0.018239,          8.7483e-05,             0.87463,              0.8013,             0.87915,             0.60588,            0.031565,             0.03549,          0.00010333,           0.0029286,           0.0029286,           0.0029286
                  27,             0.02192,            0.017675,          8.0991e-05,             0.89923,             0.77424,             0.86659,             0.58973,            0.034946,            0.036756,          0.00012479,           0.0026457,           0.0026457,           0.0026457
                  28,             0.02191,            0.017741,          7.6049e-05,              0.8924,             0.77653,             0.87052,             0.59485,            0.033569,             0.03557,          8.6031e-05,           0.0023629,           0.0023629,           0.0023629
                  29,            0.021607,            0.017557,          6.9039e-05,             0.88057,             0.78215,             0.87168,             0.59028,            0.036873,            0.034717,          8.5485e-05,             0.00208,             0.00208,             0.00208
                  30,              0.0213,             0.01766,          6.4003e-05,             0.88714,              0.7965,             0.88859,              0.6057,            0.031906,            0.034942,          7.1528e-05,           0.0017971,           0.0017971,           0.0017971
                  31,            0.021084,            0.017632,          6.0026e-05,             0.89202,             0.79213,             0.88074,             0.60107,            0.034961,            0.035056,          7.0182e-05,           0.0015143,           0.0015143,           0.0015143
                  32,            0.020774,            0.016894,          5.5545e-05,              0.8733,             0.81898,              0.8859,             0.61362,            0.033031,            0.034356,          6.0827e-05,           0.0012314,           0.0012314,           0.0012314
                  33,            0.021164,            0.017395,          5.2774e-05,             0.88181,             0.78464,             0.87522,             0.59428,            0.034246,            0.035276,          5.6333e-05,          0.00094857,          0.00094857,          0.00094857
                  34,            0.020463,            0.016788,          5.0099e-05,             0.90531,             0.77965,              0.8828,             0.60195,            0.033922,            0.034588,          5.1126e-05,          0.00066571,          0.00066571,          0.00066571
