               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082996,            0.030826,            0.030194,             0.81674,             0.19596,             0.19918,            0.085359,            0.066003,            0.015424,            0.018405,            0.070323,           0.0032975,           0.0032975
                   1,            0.061717,            0.021832,            0.013205,             0.61292,             0.44844,             0.33122,             0.11717,            0.056387,            0.011393,            0.010353,            0.040135,           0.0064433,           0.0064433
                   2,            0.055821,            0.017905,           0.0098131,             0.67992,             0.48984,              0.4622,             0.20979,            0.051328,            0.010343,           0.0078546,           0.0097589,           0.0094005,           0.0094005
                   3,            0.047592,            0.015992,           0.0078631,             0.84868,             0.57193,             0.67846,             0.43247,            0.035869,           0.0095537,           0.0059111,           0.0091514,           0.0091514,           0.0091514
                   4,            0.041004,            0.013983,           0.0062766,             0.73362,             0.73156,             0.74002,             0.44348,            0.035459,           0.0088276,           0.0048527,           0.0091514,           0.0091514,           0.0091514
                   5,            0.035663,            0.013483,           0.0053901,             0.89958,             0.71768,             0.76966,              0.4841,            0.031447,           0.0087629,           0.0041062,           0.0088686,           0.0088686,           0.0088686
                   6,            0.033867,            0.013707,           0.0045859,             0.87411,             0.75673,             0.83299,             0.53889,            0.028068,           0.0082743,           0.0038812,           0.0085857,           0.0085857,           0.0085857
                   7,            0.030889,            0.011999,           0.0044272,             0.81291,             0.81008,             0.84131,             0.51007,            0.028574,           0.0080729,           0.0034728,           0.0083029,           0.0083029,           0.0083029
                   8,            0.029776,            0.012504,           0.0036931,             0.87039,             0.80901,             0.88298,             0.58431,            0.026707,             0.00797,           0.0029892,             0.00802,             0.00802,             0.00802
                   9,             0.02878,            0.012709,           0.0038843,             0.81003,             0.80697,             0.83607,             0.53321,             0.02689,            0.008039,           0.0036668,           0.0077371,           0.0077371,           0.0077371
                  10,            0.026912,            0.011312,           0.0034986,              0.8627,             0.78923,             0.83912,             0.57081,            0.024937,            0.007492,           0.0028128,           0.0074543,           0.0074543,           0.0074543
                  11,            0.026009,            0.011284,           0.0032847,              0.8262,             0.85918,             0.87795,             0.61882,            0.023681,           0.0072424,           0.0030741,           0.0071714,           0.0071714,           0.0071714
                  12,            0.025408,            0.010819,           0.0031201,             0.85118,             0.87563,             0.90861,             0.65343,            0.023453,           0.0076596,           0.0025843,           0.0068886,           0.0068886,           0.0068886
                  13,            0.024747,            0.010782,           0.0035834,             0.92126,             0.87738,             0.90832,             0.61843,            0.023139,           0.0073158,            0.002709,           0.0066057,           0.0066057,           0.0066057
                  14,            0.023579,            0.010545,           0.0024592,             0.92113,             0.78505,             0.86625,             0.62913,            0.023266,           0.0069376,           0.0024942,           0.0063229,           0.0063229,           0.0063229
                  15,            0.023394,            0.010159,           0.0028158,             0.86668,             0.89415,             0.92342,             0.64091,            0.020161,           0.0073462,           0.0025154,             0.00604,             0.00604,             0.00604
                  16,            0.022925,            0.010526,           0.0024398,              0.9104,             0.88788,              0.9206,             0.66123,            0.020511,            0.007197,           0.0034969,           0.0057571,           0.0057571,           0.0057571
                  17,            0.021922,            0.010025,           0.0022112,             0.93296,             0.84963,             0.91573,             0.64649,            0.019416,           0.0072851,           0.0024237,           0.0054743,           0.0054743,           0.0054743
                  18,            0.021309,           0.0097187,           0.0022223,             0.93122,             0.90624,             0.93653,             0.65411,              0.0211,           0.0075336,           0.0023649,           0.0051914,           0.0051914,           0.0051914
                  19,            0.021189,           0.0098957,           0.0023837,             0.92577,             0.93191,             0.94232,             0.67552,            0.019521,           0.0066916,            0.002123,           0.0049086,           0.0049086,           0.0049086
                  20,            0.020294,           0.0099648,           0.0019088,             0.93991,             0.88821,             0.95052,             0.68662,            0.019691,           0.0067069,            0.002282,           0.0046257,           0.0046257,           0.0046257
                  21,            0.019935,           0.0095406,           0.0019411,             0.92516,             0.87964,             0.93069,             0.68673,            0.018835,           0.0068998,           0.0022195,           0.0043429,           0.0043429,           0.0043429
                  22,              0.0197,           0.0094345,           0.0015971,              0.9278,             0.90381,             0.94178,             0.70255,            0.018019,           0.0070057,           0.0020762,             0.00406,             0.00406,             0.00406
                  23,            0.018519,           0.0091517,           0.0020307,              0.9422,             0.89652,             0.94883,             0.67546,            0.019076,           0.0068096,           0.0023168,           0.0037771,           0.0037771,           0.0037771
                  24,            0.018057,           0.0090276,           0.0018436,              0.8988,             0.91321,             0.94176,             0.71085,            0.018472,           0.0068832,           0.0021228,           0.0034943,           0.0034943,           0.0034943
                  25,             0.01757,           0.0089042,           0.0015677,             0.89488,             0.90868,             0.93278,              0.6996,            0.018287,           0.0070324,            0.001987,           0.0032114,           0.0032114,           0.0032114
                  26,            0.016938,           0.0088099,           0.0016205,              0.9544,             0.89898,             0.94378,              0.6897,            0.018618,           0.0068984,           0.0019587,           0.0029286,           0.0029286,           0.0029286
                  27,            0.017095,           0.0089137,           0.0015841,             0.95909,             0.88115,             0.94364,             0.71023,            0.018084,           0.0067606,           0.0019847,           0.0026457,           0.0026457,           0.0026457
                  28,            0.016433,           0.0086938,           0.0013518,              0.9067,             0.90065,              0.9339,              0.6977,            0.018507,           0.0068312,           0.0019301,           0.0023629,           0.0023629,           0.0023629
                  29,             0.01602,           0.0085465,           0.0014144,             0.90927,               0.904,             0.93857,             0.69831,            0.017651,           0.0069329,           0.0019504,             0.00208,             0.00208,             0.00208
                  30,            0.015864,           0.0082106,           0.0013773,             0.89567,             0.93198,             0.93765,             0.71628,            0.017994,            0.007347,            0.002082,           0.0017971,           0.0017971,           0.0017971
                  31,            0.015188,           0.0082166,           0.0013025,             0.90237,              0.9164,             0.94851,             0.72442,            0.017388,           0.0067704,           0.0019853,           0.0015143,           0.0015143,           0.0015143
                  32,            0.014723,           0.0081604,           0.0011148,             0.94099,             0.90195,             0.95071,             0.71229,            0.017739,           0.0067227,           0.0018438,           0.0012314,           0.0012314,           0.0012314
                  33,            0.014391,           0.0079172,           0.0010663,             0.92315,             0.91946,             0.95029,             0.71224,            0.017369,            0.006699,           0.0017636,          0.00094857,          0.00094857,          0.00094857
                  34,            0.014133,           0.0078966,           0.0010579,             0.92425,             0.92257,             0.94829,             0.72721,            0.017162,           0.0068153,           0.0018197,          0.00066571,          0.00066571,          0.00066571
