               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074303,            0.037856,           0.0087928,             0.57331,             0.70724,             0.63611,             0.32885,            0.042252,            0.016736,           0.0010416,            0.070134,           0.0033185,           0.0033185
                   1,            0.052804,            0.028993,           0.0013303,             0.66433,             0.72909,             0.74612,             0.43412,            0.036632,            0.014854,            0.001249,            0.039946,           0.0064636,           0.0064636
                   2,            0.046401,            0.025752,           0.0013691,             0.82592,             0.79838,             0.85059,             0.54777,            0.031904,            0.014969,           0.0010562,           0.0095691,           0.0094202,           0.0094202
                   3,            0.041004,            0.026013,           0.0011526,             0.93146,              0.8221,             0.91295,             0.60113,            0.029848,            0.014661,           0.0007937,           0.0091514,           0.0091514,           0.0091514
                   4,            0.037481,            0.024481,          0.00084921,             0.90927,               0.804,             0.89695,             0.62032,            0.027797,            0.014606,          0.00072096,           0.0091514,           0.0091514,           0.0091514
                   5,            0.034993,            0.024248,          0.00067996,             0.92566,              0.8608,             0.93197,             0.68588,            0.024163,            0.013171,           0.0005974,           0.0088686,           0.0088686,           0.0088686
                   6,            0.033207,            0.023716,          0.00056268,             0.92009,             0.85393,             0.92693,              0.6595,            0.024735,            0.013385,          0.00051109,           0.0085857,           0.0085857,           0.0085857
                   7,            0.031659,             0.02235,          0.00046697,             0.91454,             0.81835,             0.89635,             0.63803,            0.026449,            0.014804,           0.0004757,           0.0083029,           0.0083029,           0.0083029
                   8,            0.031105,              0.0227,          0.00042028,             0.91462,             0.84921,             0.92745,             0.67441,            0.023529,            0.013383,          0.00041634,             0.00802,             0.00802,             0.00802
                   9,            0.029719,            0.022043,          0.00037344,             0.93401,             0.87828,             0.95064,              0.7194,            0.022401,            0.012206,           0.0003451,           0.0077371,           0.0077371,           0.0077371
                  10,            0.029379,            0.021792,          0.00033235,             0.91583,             0.86642,             0.93869,             0.70297,             0.02228,            0.012598,          0.00030267,           0.0074543,           0.0074543,           0.0074543
                  11,            0.028368,            0.021352,          0.00030697,              0.9493,             0.85955,             0.93697,             0.70864,             0.02227,            0.013021,          0.00027996,           0.0071714,           0.0071714,           0.0071714
                  12,            0.027974,            0.020626,          0.00027045,             0.92674,             0.84457,             0.92363,             0.69748,            0.023597,             0.01311,          0.00025926,           0.0068886,           0.0068886,           0.0068886
                  13,            0.027125,            0.020502,          0.00025411,             0.92085,             0.86427,             0.94136,             0.71212,            0.021953,            0.012656,          0.00023454,           0.0066057,           0.0066057,           0.0066057
                  14,            0.026555,            0.020508,           0.0002209,             0.95355,               0.897,             0.96273,               0.737,            0.021386,            0.011452,          0.00020324,           0.0063229,           0.0063229,           0.0063229
                  15,            0.026093,            0.019728,          0.00021305,             0.93771,             0.88329,             0.95448,             0.71624,            0.021772,            0.012296,          0.00019797,             0.00604,             0.00604,             0.00604
                  16,            0.026041,            0.019729,          0.00020177,             0.93886,             0.88514,             0.95439,             0.72853,             0.02183,            0.012062,          0.00020193,           0.0057571,           0.0057571,           0.0057571
                  17,            0.025149,            0.019714,          0.00018239,             0.93803,             0.86926,              0.9462,             0.72663,             0.02143,            0.012286,          0.00016615,           0.0054743,           0.0054743,           0.0054743
                  18,             0.02516,            0.019441,          0.00016768,              0.9339,             0.87578,             0.94617,             0.72415,            0.021332,             0.01257,          0.00015184,           0.0051914,           0.0051914,           0.0051914
                  19,            0.024875,            0.019671,          0.00015344,             0.94485,             0.83412,             0.92712,             0.71466,            0.021256,             0.01362,          0.00016065,           0.0049086,           0.0049086,           0.0049086
                  20,            0.024472,            0.019484,          0.00014558,             0.93283,             0.84951,             0.93625,             0.72851,            0.021575,            0.012918,          0.00013773,           0.0046257,           0.0046257,           0.0046257
                  21,            0.024035,            0.019215,          0.00013292,             0.92979,             0.87632,             0.95219,             0.73888,             0.02028,            0.012204,          0.00011556,           0.0043429,           0.0043429,           0.0043429
                  22,            0.023299,            0.018501,          0.00012499,             0.92007,             0.88378,             0.94573,             0.73952,            0.020602,            0.012526,          9.6496e-05,             0.00406,             0.00406,             0.00406
                  23,            0.023673,            0.018389,          0.00011592,             0.92037,             0.86392,             0.93992,             0.72299,            0.020332,            0.012753,          0.00010474,           0.0037771,           0.0037771,           0.0037771
                  24,            0.022815,            0.018361,          0.00010862,             0.94699,             0.85393,             0.93721,             0.72098,             0.02063,            0.013112,          0.00010052,           0.0034943,           0.0034943,           0.0034943
                  25,             0.02263,            0.018271,          9.4306e-05,             0.94031,             0.89263,             0.95625,              0.7474,            0.020125,            0.012042,           8.053e-05,           0.0032114,           0.0032114,           0.0032114
                  26,            0.022406,            0.018239,          8.7483e-05,             0.93031,              0.8814,             0.95066,             0.74697,            0.020517,            0.012097,          7.5573e-05,           0.0029286,           0.0029286,           0.0029286
                  27,             0.02192,            0.017675,          8.0991e-05,             0.92879,               0.897,               0.954,             0.74465,            0.020303,            0.012066,          6.9045e-05,           0.0026457,           0.0026457,           0.0026457
                  28,             0.02191,            0.017741,          7.6049e-05,             0.93156,             0.86704,             0.94257,             0.74114,            0.020698,            0.012802,          6.5566e-05,           0.0023629,           0.0023629,           0.0023629
                  29,            0.021607,            0.017557,          6.9039e-05,              0.9513,             0.89263,             0.95359,             0.75379,            0.019833,            0.011945,           5.026e-05,             0.00208,             0.00208,             0.00208
                  30,              0.0213,             0.01766,          6.4003e-05,             0.93858,             0.87453,             0.94994,             0.74912,            0.019429,            0.012115,          4.7062e-05,           0.0017971,           0.0017971,           0.0017971
                  31,            0.021084,            0.017632,          6.0026e-05,             0.94508,             0.88015,             0.94853,             0.74891,            0.019838,            0.012488,          4.4169e-05,           0.0015143,           0.0015143,           0.0015143
                  32,            0.020774,            0.016894,          5.5545e-05,             0.95136,             0.89201,              0.9583,             0.75494,            0.019827,            0.011621,          3.7914e-05,           0.0012314,           0.0012314,           0.0012314
                  33,            0.021164,            0.017395,          5.2774e-05,             0.93383,             0.89852,             0.95628,             0.75343,            0.019885,            0.011711,          3.8517e-05,          0.00094857,          0.00094857,          0.00094857
                  34,            0.020463,            0.016788,          5.0099e-05,             0.93801,             0.89576,             0.95618,             0.75514,            0.019758,            0.011797,          3.5669e-05,          0.00066571,          0.00066571,          0.00066571
