               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069294,             0.03866,           0.0078326,              0.5497,             0.61111,             0.50115,             0.24873,            0.044913,            0.017518,           0.0012071,            0.070134,           0.0033185,           0.0033185
                   1,            0.052095,            0.029091,           0.0013669,             0.66919,             0.73159,             0.73787,             0.45114,            0.038592,            0.014785,           0.0012259,            0.039946,           0.0064636,           0.0064636
                   2,            0.046094,            0.025819,             0.00138,             0.75672,             0.75143,             0.82505,             0.46866,            0.033771,            0.015012,           0.0009777,           0.0095691,           0.0094202,           0.0094202
                   3,            0.041237,            0.026121,           0.0011201,             0.91544,             0.86205,             0.93365,              0.6293,            0.028816,            0.013129,          0.00078651,           0.0091514,           0.0091514,           0.0091514
                   4,            0.037697,            0.024537,          0.00083808,             0.88291,             0.75531,             0.86153,             0.51881,            0.031139,            0.016598,          0.00069786,           0.0091514,           0.0091514,           0.0091514
                   5,            0.034913,            0.024352,          0.00065552,             0.92571,             0.83833,             0.92253,             0.66297,            0.027259,            0.013861,          0.00052156,           0.0088686,           0.0088686,           0.0088686
                   6,            0.033449,            0.023761,          0.00055674,             0.91994,             0.80335,             0.90137,             0.65252,            0.024457,            0.014755,          0.00050598,           0.0085857,           0.0085857,           0.0085857
                   7,            0.032222,            0.022492,          0.00047959,             0.92028,             0.87908,             0.94205,             0.69055,            0.023299,            0.012673,           0.0005012,           0.0083029,           0.0083029,           0.0083029
                   8,            0.031029,            0.022693,          0.00042258,             0.90956,             0.85331,              0.9256,             0.68733,            0.023258,            0.013373,          0.00040089,             0.00802,             0.00802,             0.00802
                   9,            0.030096,            0.022216,          0.00037364,             0.89868,             0.85456,             0.93277,             0.68584,            0.022637,            0.013063,          0.00032791,           0.0077371,           0.0077371,           0.0077371
                  10,            0.029601,            0.021915,          0.00033033,             0.92969,             0.84194,             0.93361,             0.69786,            0.023168,             0.01316,          0.00029724,           0.0074543,           0.0074543,           0.0074543
                  11,            0.028388,            0.021243,           0.0003155,             0.92373,             0.83914,             0.92302,             0.69543,            0.022913,            0.013276,          0.00029169,           0.0071714,           0.0071714,           0.0071714
                  12,            0.028114,            0.020865,          0.00027577,             0.92071,             0.85144,             0.92959,             0.69341,            0.022837,            0.013028,          0.00025462,           0.0068886,           0.0068886,           0.0068886
