               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069294,             0.03866,           0.0078326,             0.47207,             0.47389,             0.45689,             0.21534,            0.054309,            0.040228,             0.00134,            0.070134,           0.0033185,           0.0033185
                   1,            0.052095,            0.029091,           0.0013669,             0.51326,             0.62984,             0.58636,             0.27075,            0.049474,            0.035943,           0.0012205,            0.039946,           0.0064636,           0.0064636
                   2,            0.046094,            0.025819,             0.00138,              0.5795,              0.6581,             0.64999,             0.33716,            0.043899,            0.035618,            0.001061,           0.0095691,           0.0094202,           0.0094202
                   3,            0.041237,            0.026121,           0.0011201,             0.78546,             0.76841,             0.82132,              0.4746,            0.037191,            0.033768,          0.00089287,           0.0091514,           0.0091514,           0.0091514
                   4,            0.037697,            0.024537,          0.00083808,             0.80632,              0.7397,             0.83249,             0.49156,            0.038085,            0.035709,          0.00072032,           0.0091514,           0.0091514,           0.0091514
                   5,            0.034913,            0.024352,          0.00065552,             0.82459,             0.77466,             0.85766,             0.54009,            0.033101,            0.035835,          0.00056838,           0.0088686,           0.0088686,           0.0088686
                   6,            0.033449,            0.023761,          0.00055674,             0.83642,             0.78402,             0.86799,             0.55186,            0.036318,            0.033492,          0.00046755,           0.0085857,           0.0085857,           0.0085857
                   7,            0.032222,            0.022492,          0.00047959,             0.82101,              0.7616,              0.8443,             0.52474,            0.032567,            0.035492,          0.00044657,           0.0083029,           0.0083029,           0.0083029
                   8,            0.031029,            0.022693,          0.00042258,             0.84136,             0.77801,             0.85749,             0.53733,            0.034659,            0.035403,          0.00042462,             0.00802,             0.00802,             0.00802
                   9,            0.030096,            0.022216,          0.00037364,             0.80961,             0.77029,             0.85301,             0.53148,            0.036838,            0.033742,          0.00035515,           0.0077371,           0.0077371,           0.0077371
                  10,            0.029601,            0.021915,          0.00033033,             0.84166,             0.78527,             0.86373,             0.56337,            0.036999,            0.033826,          0.00032404,           0.0074543,           0.0074543,           0.0074543
                  11,            0.028388,            0.021243,           0.0003155,             0.87467,             0.78777,             0.87785,             0.56018,            0.032794,            0.035178,          0.00028397,           0.0071714,           0.0071714,           0.0071714
                  12,            0.028114,            0.020865,          0.00027577,             0.84063,             0.78032,             0.86311,             0.54182,            0.034209,            0.032475,           0.0002458,           0.0068886,           0.0068886,           0.0068886
                  13,            0.027136,            0.020547,          0.00025386,             0.87224,               0.799,             0.87755,             0.55908,            0.032955,            0.033881,          0.00026173,           0.0066057,           0.0066057,           0.0066057
                  14,            0.026756,            0.020531,          0.00023144,             0.88434,             0.77278,             0.86759,             0.57819,            0.034794,            0.033605,          0.00023429,           0.0063229,           0.0063229,           0.0063229
